Efficient Decoding of Ternary Error-Correcting Output Codes for Multiclass Classification,Sang-Hyeun Park (Technische Universität Darmstadt);Johannes Fürnkranz (Technische Universität Darmstadt);,"2170901016,52482323","We present an adaptive decoding algorithm for ternary ECOC matrices which reduces the number of needed classifier evaluations for multiclass classification. The resulting predictions are guaranteed to be equivalent with the original decoding strategy except for ambiguous final predictions. The technique works for Hamming Decoding and several commonly used alternative decoding strategies. We show its effectiveness in an extensive empirical evaluation considering various code design types: Nearly in all cases, a considerable reduction is possible. We also show that the performance gain depends on the sparsity and the dimension of the ECOC coding matrix.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,list decoding;sequential decoding;multiclass classification;data mining;pattern recognition;machine learning;computer science;
Reconstructing Data Perturbed by Random Projections When the Mixing Matrix Is Known,Yingpeng Sang (University of Adelaide);Hong Shen (University of Adelaide);Hui Tian (University of Adelaide);,"2311067965,2194483685,2437049620","Random Projection ($\mathcal{RP}$) has drawn great interest from the research of privacy-preserving data mining due to its high efficiency and security. It was proposed in [27] where the original data set composed of m attributes, is multiplied with a mixing matrix of dimensions k × m ( m > k ) which is random and orthogonal on expectation, and then the k series of perturbed data are released for mining purposes. To our knowledge little work has been done from the view of the attacker, to reconstruct the original data to get some sensitive information, given the data perturbed by $\mathcal{RP}$ and some priori knowledge, e.g. the mixing matrix, the means and variances of the original data. In the case that the attributes of the original data are mutually independent and sparse, the reconstruction can be treated as a problem of Underdetermined Independent Component Analysis (UICA), but UICA has some permutation and scaling ambiguities. In this paper we propose a reconstruction framework based on UICA and also some techniques to reduce the ambiguities. The cases that the attributes of the original data are correlated and not sparse are also common in data mining. We also propose a reconstruction method for the typical case of Multivariate Gaussian Distribution, based on the method of Maximum A Posterior (MAP). Our experiments show that our reconstructions can achieve high recovery rates, and outperform the reconstructions based on Principle Component Analysis (PCA).",2009,European Conference on Principles of Data Mining and Knowledge Discovery,independent component analysis;maximum a posteriori estimation;principal component analysis;normal distribution;data mining;pattern recognition;machine learning;statistics;computer science;mathematics;
Protein Identification from Tandem Mass Spectra with Probabilistic Language Modeling,Yiming Yang (Carnegie Mellon University);Abhay Harpale (Carnegie Mellon University);Subramaniam Ganapathy (Carnegie Mellon University);,"2159253281,1967260281,2123825055","This paper presents an interdisciplinary investigation of statistical information retrieval (IR) techniques for protein identification from tandem mass spectra, a challenging problem in proteomic data analysis. We formulate the task as an IR problem, by constructing a ""query vector"" whose elements are system-predicted peptides with confidence scores based on spectrum analysis of the input sample, and by defining the vector space of ""documents"" with protein profiles, each of which is constructed based on the theoretical spectrum of a protein. This formulation establishes a new connection from the protein identification problem to a probabilistic language modeling approach as well as the vector space models in IR, and enables us to compare fundamental differences in the IR models and common approaches in protein identification. Our experiments on benchmark spectrometry query sets and large protein databases demonstrate that the IR models significantly outperform well-established methods in protein identification, by enhancing precision in high-recall regions in particular, where the conventional approaches are weak.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,vector space model;mass spectrum;spectrum analyzer;vector space;spectrum;data analysis;language model;proteomics;bioinformatics;data mining;machine learning;computer science;mathematics;
Heteroscedastic Probabilistic Linear Discriminant Analysis with Semi-supervised Extension,Yu Zhang (Hong Kong University of Science and Technology);Dit Yan Yeung (Hong Kong University of Science and Technology);,"2648094648,2109477161","Linear discriminant analysis (LDA) is a commonly used method for dimensionality reduction. Despite its successes, it has limitations under some situations, including the small sample size problem, the homoscedasticity assumption that different classes have the same Gaussian distribution, and its inability to produce probabilistic output and handle missing data. In this paper, we propose a semi-supervised and heteroscedastic extension of probabilistic LDA, called S2HPLDA, which aims at overcoming all these limitations under a common principled framework. Moreover, we apply automatic relevance determination to determine the required dimensionality of the low-dimensional space for dimensionality reduction. We empirically compare our method with several related probabilistic subspace methods on some face and object databases. Very promising results are obtained from the experiments showing the effectiveness of our proposed method.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,missing data;normal distribution;linear discriminant analysis;data mining;pattern recognition;machine learning;statistics;mathematics;
Visual OntoBridge: Semi-automatic Semantic Annotation Software,Miha Grcar;Dunja Mladenic (Carnegie Mellon University);,"2703812680,2282522104","Machine learning methods have been successfully used for data labeling, also referred to as data annotation, either in semi-automatic or fully automatic way. We present a system for semi-automatic annotation of Web service schemas and other resources with the motivation to support efficient browse and search through those resources and to enable efficient composition and execution of Web services. The presented system, Visual OntoBridge (VOB), provides a graphical user interface and employs a set of machine learning algorithms to support the user in the annotation task.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,temporal annotation;minimum information required in the annotation of models;ontology;web service;graph;graphical user interface;automatic image annotation;image retrieval;text mining;world wide web;information retrieval;database;machine learning;computer science;
Graph-Based Discrete Differential Geometry for Critical Instance Filtering,Elena Marchiori (Radboud University Nijmegen);,1974086637,"Graph theory has been shown to provide a powerful tool for representing and tackling machine learning problems, such as clustering, semi-supervised learning, and feature ranking. This paper proposes a graph-based discrete differential operator for detecting and eliminating competence-critical instances and class label noise from a training set in order to improve classification performance. Results of extensive experiments on artificial and real-life classification problems substantiate the effectiveness of the proposed approach.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,discrete system;differential operator;discrete differential geometry;semi supervised learning;instance based learning;graph theory;data mining;pattern recognition;artificial intelligence;machine learning;mathematics;
On Discriminative Parameter Learning of Bayesian Network Classifiers,Franz Pernkopf (Graz University of Technology);Michael Wohlmayr (Graz University of Technology);,"199276077,199941774","We introduce three discriminative parameter learning algorithms for Bayesian network classifiers based on optimizing either the conditional likelihood (CL) or a lower-bound surrogate of the CL. One training procedure is based on the extended Baum-Welch (EBW) algorithm. Similarly, the remaining two approaches iteratively optimize the parameters (initialized to ML) with a 2-step algorithm. In the first step, either the class posterior probabilities or class assignments are determined based on current parameter estimates. Based on these posteriors (class assignment, respectively), the parameters are updated in the second step. We show that one of these algorithms is strongly related to EBW. Additionally, we compare all algorithms to conjugate gradient conditional likelihood (CGCL) parameter optimization [1]. We present classification results for frame- and segment-based phonetic classification and handwritten digit recognition. Discriminative parameter learning shows a significant improvement over generative ML estimation for naive Bayes (NB) and tree augmented naive Bayes (TAN) structures on all data sets. In general, the performance improvement of discriminative parameter learning is large for simple Bayesian network structures which are not optimized for classification.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,naive bayes classifier;bayesian network;conjugate gradient method;posterior probability;upper and lower bounds;estimation theory;pattern recognition;machine learning;statistics;computer science;mathematics;
MACs: Multi-Attribute Co-clusters with High Correlation Information,"Kelvin Sim (Agency for Science, Technology and Research);Vivekanand Gopalkrishnan (Nanyang Technological University);Hon Nian Chua (Agency for Science, Technology and Research);See-Kiong Ng (Agency for Science, Technology and Research);","2272606362,1206024763,2121413702,2433676728","In many real-world applications that analyze correlations between two groups of diverse entities, each group of entities can be characterized by multiple attributes. As such, there is a need to co-cluster multiple attributes' values into pairs of highly correlated clusters. We denote this co-clustering problem as the multi-attribute co-clustering problem. In this paper, we introduce a generalization of the mutual information between two attributes into mutual information between two attribute sets. The generalized formula enables us to use correlation information to discover multi-attribute co-clusters (MACs) . We develop a novel algorithm MACminer to mine MACs with high correlation information from datasets. We demonstrate the mining efficiency of MACminer in datasets with multiple attributes, and show that MACs with high correlation information have higher classification and predictive power, as compared to MACs generated by alternative high-dimensional data clustering and pattern mining techniques.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,clustering high dimensional data;mutual information;data science;data mining;machine learning;statistics;computer science;mathematics;
Universal Learning over Related Distributions and Adaptive Graph Transduction,Erheng Zhong (Sun Yat-sen University);Wei Fan (IBM);Jing Peng (Montclair State University);Olivier Verscheure (IBM);Jiangtao Ren (Sun Yat-sen University);,"2108094379,2491264568,2140174629,1989969217,2170114694","The basis assumption that ""training and test data drawn from the same distribution"" is often violated in reality. In this paper, we propose one common solution to cover various scenarios of learning under ""different but related distributions"" in a single framework. Explicit examples include (a) sample selection bias between training and testing data, (b) transfer learning or no labeled data in target domain, and (c) noisy or uncertain training data. The main motivation is that one could ideally solve as many problems as possible with a single approach. The proposed solution extends graph transduction using the maximum margin principle over unlabeled data. The error of the proposed method is bounded under reasonable assumptions even when the training and testing distributions are different. Experiment results demonstrate that the proposed method improves the traditional graph transduction by as much as 15% in accuracy and AUC in all common situations of distribution difference. Most importantly, it outperforms, by up to 10% in accuracy, several state-of-art approaches proposed to solve specific category of distribution difference, i.e, BRSD [1] for sample selection bias, CDSC [2] for transfer learning, etc. The main claim is that the adaptive graph transduction is a general and competitive method to solve distribution differences implicitly without knowing and worrying about the exact type. These at least include sample selection bias, transfer learning, uncertainty mining, as well as those alike that are still not studied yet. The source code and datasets are available from the authors.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,transfer of learning;selection bias;source code;semi supervised learning;data mining;artificial intelligence;machine learning;statistics;computer science;mathematics;
Enhanced Web Page Content Visualization with Firefox,Lorand Dali;Delia Rusu (Technical University of Cluj-Napoca);Dunja Mladenić (Carnegie Mellon University);,"2114722899,2024867374,2282522104","This paper aims at presenting how natural language processing and machine learning techniques can help the internet surfer to get a better overview of the pages he is reading. The proposed demo is a Firefox extension which can show a semantic graph of the text in the page that is currently loaded in the browser. The user can also get a summary of the web page she is looking at by choosing to display only the more important nodes in the semantic graph representation of the document, where importance of the nodes is obtained by machine learning techniques.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,wyciwyg;static web page;graph;web page;world wide web;information retrieval;data mining;database;machine learning;computer science;
Mining Databases to Mine Queries Faster,Arno Siebes (Utrecht University);Diyah Puspitaningrum (Utrecht University);,"1988376837,2128973072","Inductive databases are databases in which models and patterns are first class citizens. Having models and patterns in the database raises the question: do the models and patterns that are stored help in computing new models and patterns? For example, let C be a classifier on database DB and let Q be a query. Does knowing C speed up the induction of a new classifier on the result of Q ? In this paper we answer this problem positively for the code tables induced by our Krimp algorithm. More in particular, assume we have the code tables for all tables in the database. Then we can approximate the code table induced by Krimp on the result of a query, using only these global code tables as candidates. That is, we do not have to mine for frequent item sets on the query result.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,view;theoretical computer science;data mining;database;machine learning;computer science;
Discovering Patterns in Flows: A Privacy Preserving Approach with the ACSM Prototype,Stéphanie Jacquemont (Centre national de la recherche scientifique);François Jacquenet (Centre national de la recherche scientifique);Marc Sebban (Centre national de la recherche scientifique);,"2313230314,2312251186,2217963768","In this demonstration, we aim to present the ACSM prototype that deals with the discovery of frequent patterns in the context of flow management problems. One important issue while working on such problems is to ensure the preservation of private data collected from the users. The approach presented here is based on the representation of flows in the form of probabilistic automata. Resorting to efficient algebraic techniques, the ACSM prototype is able to discover from those automata sequential patterns under constraints. Contrary to standard sequential pattern techniques that may be applied in such contexts, our prototype makes no use of individuals data.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,probabilistic automaton;data collection;internet privacy;data mining;database;statistics;computer science;
Enhancing the Performance of Centroid Classifier by ECOC and Model Refinement,Songbo Tan (Chinese Academy of Sciences);Gaowei Wu (Chinese Academy of Sciences);Xueqi Cheng (Chinese Academy of Sciences);,"2162871507,2280165676,2129598186","With the aim of improving the performance of centroid text classifier, we attempt to make use of the advantages of Error-Correcting Output Codes (ECOC) strategy. The framework is to decompose one multi-class problem into multiple binary problems and then learn the individual binary classification problems by centroid classifier. However, this kind of decomposition incurs considerable bias for centroid classifier, which results in noticeable degradation of performance for centroid classifier. In order to address this issue, we use Model-Refinement strategy to adjust this so-called bias. The basic idea is to take advantage of misclassified examples in the training data to iteratively refine and adjust the centroids of text data. The experimental results reveal that Model-Refinement strategy can dramatically decrease the bias introduced by ECOC, and the combined classifier is comparable to or even better than SVM classifier in performance.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,margin classifier;quadratic classifier;binary classification;data mining;pattern recognition;machine learning;computer science;
Learning the Difference between Partially Observable Dynamical Systems,Sami Zhioua (McGill University);Doina Precup (McGill University);François Laviolette (Laval University);Josée Desharnais (Laval University);,"2261731950,2049838,2076579854,2008651352","We propose a new approach for estimating the difference between two partially observable dynamical systems. We assume that one can interact with the systems by performing actions and receiving observations. The key idea is to define a Markov Decision Process (MDP) based on the systems to be compared, in such a way that the optimal value of the MDP initial state can be interpreted as a divergence (or dissimilarity) between the systems. This dissimilarity can then be estimated by reinforcement learning methods. Moreover, the optimal policy will contain information about the actions which most distinguish the systems. Empirical results show that this approach is useful in detecting both big and small differences, as well as in comparing systems with different internal structure.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,q learning;partially observable markov decision process;markov decision process;dynamical system;reinforcement learning;control theory;artificial intelligence;machine learning;mathematical optimization;computer science;mathematics;
Optimal Online Learning Procedures for Model-Free Policy Evaluation,Tsuyoshi Ueno (Kyoto University);Shin-ichi Maeda (Kyoto University);Motoaki Kawanabe (Fraunhofer Society);Shin Ishii (Kyoto University);,"2155890085,2127973671,2072849696,2063114072","In this study, we extend the framework of semiparametric statistical inference introduced recently to reinforcement learning [1] to online learning procedures for policy evaluation. This generalization enables us to investigate statistical properties of value function estimators both by batch and online procedures in a unified way in terms of estimating functions. Furthermore, we propose a novel online learning algorithm with optimal estimating functions which achieve the minimum estimation error. Our theoretical developments are confirmed using a simple chain walk problem.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,online machine learning;generalization error;optimal estimation;statistical inference;bellman equation;active learning;algorithmic learning theory;reinforcement learning;unsupervised learning;econometrics;machine learning;statistics;computer science;
Capacity Control for Partially Ordered Feature Sets,Ulrich Rückert (International Computer Science Institute);,2713182964,"Partially ordered feature sets appear naturally in many classification settings with structured input instances, for example, when the data instances are graphs and a feature tests whether a specific substructure occurs in the instance. Since such features are partially ordered according to an ""is substructure of"" relation, the information in those datasets is stored in an intrinsically redundant form. We investigate how this redundancy affects the capacity control behavior of linear classification methods. From a theoretical perspective, it can be shown that the capacity of this hypothesis class does not decrease for worst case distributions. However, if the data generating distribution assigns lower probabilities to instances in the lower levels of the hierarchy induced by the partial order, the capacity of the hypothesis class can be bounded by a smaller term. For itemset, subsequence and subtree features in particular, the capacity is finite even when an infinite number of features is present. We validate these results empirically on three graph datasets and show that the limited capacity of linear classifiers on such data makes underfitting rather than overfitting the more prominent capacity control problem. To avoid underfitting, we propose using more general substructure classes with ""elastic edges"" and we demonstrate how such broad feature classes can be used with large datasets.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,quantitative structure activity relationship;partially ordered set;data mining;pattern recognition;machine learning;statistics;mathematics;
Protecting Sensitive Topics in Text Documents with PROTEXTOR,Chad M. Cumby (Accenture);,736192338,"This is a demonstration of a system for protecting sensitive topics present in text documents. Our system works in a privacy framework where the topic is characterized as a multiclass classification problem in a generative setting. We show how our system helps a user redact a document in a business setting to obscure what company the text pertains to, and show some experimental results on redacting the topic for a standard text classification data set.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,multiclass classification;information retrieval;data mining;pattern recognition;machine learning;computer science;
OTTHO: On the Tip of My THOught,Pierpaolo Basile (University of Bari);Marco de Gemmis (University of Bari);Pasquale Lops (University of Bari);Giovanni Semeraro (University of Bari);,"2135247997,258572996,260754163,176830254","This paper describes OTTHO (On the Tip of my THOught), a system designed for solving a language game called Guillotine . The rule of the game is simple: the player observes five words, generally unrelated to each other, and in one minute she has to provide a sixth word, semantically connected to the others. The system exploits several knowledge sources, such as a dictionary, a set of proverbs, and Wikipedia to realize a knowledge infusion process. The main motivation for designing an artificial player for Guillotine is the challenge of providing the machine with the cultural and linguistic background knowledge which makes it similar to a human being, with the ability of interpreting natural language documents and reasoning on their content. Our feeling is that the approach presented in this work has a great potential for other more practical applications besides solving a language game.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,game design;natural language;systems design;natural language processing;data mining;artificial intelligence;machine learning;computer science;mathematics;
ClusTR: Exploring Multivariate Cluster Correlations and Topic Trends,Luigi Di Caro (University of Turin);Alejandro Jaimes (Telefónica);,"2153458393,2193615068","We present a demonstration of ClusTR, a highly interactive system for exploring relationships between different clusterings of a dataset and for viewing the evolution in time of topics (e.g., tags associated with objects in the dataset) within and across such clusters. In particular, ClusTR allows exploration of generic multi-dimensional, text labeled and time sensitive data.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,data science;bioinformatics;data mining;computer science;
Reliability Maps: A Tool to Enhance Probability Estimates and Improve Classification Accuracy,Meelis Kull (University of Bristol);Peter A. Flach (Sphere);,"2588360585,2675054470","We propose a general method to assess the reliability of two-class probabilities in an instance-wise manner. This is relevant, for instance, for ob- taining calibrated multi-class probabilities from two-class probability scores. The LS-ECOC method approaches this by performing least-squares fitting over a suit- able error-correcting output code matrix, where the optimisation resolves poten- tial conflicts in the input probabilities. While this gives all input probabilities equal weight, we would like to spend less effort fitting unreliable probability es- timates. We introduce the concept of a reliability map to accompany the more conventional notion of calibration map; and LS-ECOC-R which modifies LS- ECOC to take reliability into account. We demonstrate on synthetic data that this gets us closer to the Bayes-optimal classifier, even if the base classifiers are linear and hence have high bias. Results on UCI data sets demonstrate that multi-class accuracy also improves.",2009,European Conference on Principles of Data Mining and Knowledge Discovery,percentile;kolmogorov smirnov test;kernel method;matching pursuit;regression;decision tree;bayesian probability;information system;knowledge extraction;data mining;pattern recognition;artificial intelligence;machine learning;statistics;computer science;mathematics;
Kernel Principal Component Ranking: Robust Ranking on Noisy Data,E. Tsivtsivadze (Radboud University Nijmegen);B. Cseke (Radboud University Nijmegen);T.M. Heskes (Radboud University Nijmegen);,"2306353319,2708992836,2017622874",-,2009,European Conference on Principles of Data Mining and Knowledge Discovery,ranking svm;principal component regression;feature vector;principal component analysis;learning to rank;machine learning;computer science;
"Machine learning and knowledge discovery in databases : European conference, ECML PKDD 2009, Bled, Slovenia, September 7-11, 2009 : proceedings",Ecml;Wray Buntine (Monash University);,"2663063358,2282891647",Invited Talks (Abstracts).- Theory-Practice Interplay in Machine Learning - Emerging Theoretical Challenges.- Are We There Yet?.- The Growing Semantic Web.- Privacy in Web Search Query Log Mining.- Highly Multilingual News Analysis Applications.- Machine Learning Journal Abstracts.- Combining Instance-Based Learning and Logistic Regression for Multilabel Classification.- On Structured Output Training: Hard Cases and an Efficient Alternative.- Sparse Kernel SVMs via Cutting-Plane Training.- Hybrid Least-Squares Algorithms for Approximate Policy Evaluation.- A Self-training Approach to Cost Sensitive Uncertainty Sampling.- Learning Multi-linear Representations of Distributions for Efficient Inference.- Cost-Sensitive Learning Based on Bregman Divergences.- Data Mining and Knowledge Discovery Journal Abstracts.- RTG: A Recursive Realistic Graph Generator Using Random Typing.- Taxonomy-Driven Lumping for Sequence Mining.- On Subgroup Discovery in Numerical Domains.- Harnessing the Strengths of Anytime Algorithms for Constant Data Streams.- Identifying the Components.- Two-Way Analysis of High-Dimensional Collinear Data.- A Fast Ensemble Pruning Algorithm Based on Pattern Mining Process.- Regular Papers.- Evaluation Measures for Multi-class Subgroup Discovery.- Empirical Study of Relational Learning Algorithms in the Phase Transition Framework.- Topic Significance Ranking of LDA Generative Models.- Communication-Efficient Classification in P2P Networks.- A Generalization of Forward-Backward Algorithm.- Mining Graph Evolution Rules.- Parallel Subspace Sampling for Particle Filtering in Dynamic Bayesian Networks.- Adaptive XML Tree Classification on Evolving Data Streams.- A Condensed Representation of Itemsets for Analyzing Their Evolution over Time.- Non-redundant Subgroup Discovery Using a Closure System.- PLSI: The True Fisher Kernel and beyond.- Semi-supervised Document Clustering with Simultaneous Text Representation and Categorization.- One Graph Is Worth a Thousand Logs: Uncovering Hidden Structures in Massive System Event Logs.- Conference Mining via Generalized Topic Modeling.- Within-Network Classification Using Local Structure Similarity.- Multi-task Feature Selection Using the Multiple Inclusion Criterion (MIC).- Kernel Polytope Faces Pursuit.- Soft Margin Trees.- Feature Weighting Using Margin and Radius Based Error Bound Optimization in SVMs.- Margin and Radius Based Multiple Kernel Learning.- Inference and Validation of Networks.- Binary Decomposition Methods for Multipartite Ranking.- Leveraging Higher Order Dependencies between Features for Text Classification.- Syntactic Structural Kernels for Natural Language Interfaces to Databases.- Active and Semi-supervised Data Domain Description.- A Matrix Factorization Approach for Integrating Multiple Data Views.- Transductive Classification via Dual Regularization.- Stable and Accurate Feature Selection.- Efficient Sample Reuse in EM-Based Policy Search.- Applying Electromagnetic Field Theory Concepts to Clustering with Constraints.- An ?1 Regularization Framework for Optimal Rule Combination.- A Generic Approach to Topic Models.- Feature Selection by Transfer Learning with Linear Regularized Models.- Integrating Logical Reasoning and Probabilistic Chain Graphs.- Max-Margin Weight Learning for Markov Logic Networks.- Parameter-Free Hierarchical Co-clustering by n-Ary Splits.- Mining Peculiar Compositions of Frequent Substrings from Sparse Text Data Using Background Texts.- Minimum Free Energy Principle for Constraint-Based Learning Bayesian Networks.- Kernel-Based Copula Processes.- Compositional Models for Reinforcement Learning.- Feature Selection for Value Function Approximation Using Bayesian Model Selection.- Learning Preferences with Hidden Common Cause Relations.- Feature Selection for Density Level-Sets.- Efficient Multi-start Strategies for Local Search Algorithms.- Considering Unseen States as Impossible in Factored Reinforcement Learning.- Relevance Grounding for Planning in Relational Domains.,2009,European Conference on Principles of Data Mining and Knowledge Discovery,data mining;pattern recognition;artificial intelligence;machine learning;statistics;computer science;
A Framework for Performer Identification in Audio Recordings,Rafael Ramirez (Pompeu Fabra University);E. Maestre (Pompeu Fabra University);,"2131198140,2041380564",-,2009,European Conference on Principles of Data Mining and Knowledge Discovery,-
From ranking to intransitive preference learning: rock-paper-scissors and beyond,T. Pahikkala (Information Technology University);W. Waegeman (Ghent University);E. Tsivtsivadze (Radboud University Nijmegen);T. Salakoski (Information Technology University);B. de Baets (Ghent University);,"254299743,18839523,2306353319,325318054,2239395345",-,2009,European Conference on Principles of Data Mining and Knowledge Discovery,mathematics education;operations research;
Data Clustering: 50 Years Beyond K-means,Anil K. Jain (Michigan State University);,2625060461,"The practice of classifying objects according to perceived similarities is the basis for much of science. Organizing data into sensible groupings is one of the most fundamental modes of understanding and learning. As an example, a common scheme of scientific classification puts organisms in to taxonomic ranks: domain, kingdom, phylum, class, etc.). Cluster analysis is the formal study of algorithms and methods for grouping objects according to measured or perceived intrinsic characteristics. Cluster analysis does not use category labels that tag objects with prior identifiers, i.e., class labels. The absence of category information distinguishes cluster analysis (unsupervised learning) from discriminant analysis (supervised learning). The objective of cluster analysis is to simply find a convenient and valid organization of the data, not to establish rules for separating future data into categories.",2008,European Conference on Principles of Data Mining and Knowledge Discovery,data mining;pattern recognition;artificial intelligence;machine learning;mathematics;
Robust Feature Selection Using Ensemble Feature Selection Techniques,Yvan Saeys (Ghent University);Thomas Abeel (Ghent University);Yves Van de Peer (Ghent University);,"1838593635,1851593766,12615902","Robustness or stability of feature selection techniques is a topic of recent interest, and is an important issue when selected feature subsets are subsequently analysed by domain experts to gain more insight into the problem modelled. In this work, we investigate the use of ensemble feature selection techniques, where multiple feature selection methods are combined to yield more robust results. We show that these techniques show great promise for high-dimensional domains with small sample sizes, and provide more robust feature subsets than a single feature selection technique. In addition, we also investigate the effect of ensemble feature selection techniques on classification performance, giving rise to a new model selection strategy.",2008,European Conference on Principles of Data Mining and Knowledge Discovery,minimum redundancy feature selection;dimensionality reduction;cancer;biological classification;feature selection;data mining;pattern recognition;machine learning;computer science;
A Unified View of Matrix Factorization Models,Ajit Paul Singh (Carnegie Mellon University);Geoffrey J. Gordon (Carnegie Mellon University);,"2398784594,2134462204","We present a unified view of matrix factorization that frames the differences among popular methods, such as NMF, Weighted SVD, E-PCA, MMMF, pLSI, pLSI-pHITS, Bregman co-clustering, and many others, in terms of a small number of modeling choices. Many of these approaches can be viewed as minimizing a generalized Bregman divergence, and we show that (i) a straightforward alternating projection algorithm can be applied to almost any model in our unified view; (ii) the Hessian for each projection has special structure that makes a Newton projection feasible, even when there are equality constraints on the factors, which allows for matrix co-clustering; and (iii) alternating projections can be generalized to simultaneously factor a set of matrices that share dimensions. These observations immediately yield new optimization algorithms for the above factorization methods, and suggest novel generalizations of these methods such as incorporating row and column biases, and adding or relaxing clustering constraints.",2008,European Conference on Principles of Data Mining and Knowledge Discovery,matrix decomposition;discrete mathematics;combinatorics;mathematical optimization;mathematics;
A Fast Algorithm to Find Overlapping Communities in Networks,Steve Gregory (University of Bristol);,2614590065,"Many networks possess a community structure, such that vertices form densely connected groups which are more sparsely linked to other groups. In some cases these groups overlap, with some vertices shared between two or more communities. Discovering communities in networks is a computationally challenging task, especially if they overlap. In previous work we proposed an algorithm, CONGA, that could detect overlapping communities using the new concept of split betweenness . Here we present an improved algorithm based on a local form of betweenness, which yields good results but is much faster. It is especially effective in discovering small-diameter communities in large networks, and has a time complexity of only O( n log n ) for sparse networks.",2008,European Conference on Principles of Data Mining and Knowledge Discovery,girvan newman algorithm;community structure;time complexity;theoretical computer science;combinatorics;machine learning;statistics;computer science;mathematics;
Actively Transfer Domain Knowledge,Xiaoxiao Shi (Sun Yat-sen University);Wei Fan (IBM);Jiangtao Ren (Sun Yat-sen University);,"2134782470,2491264568,2170114694","When labeled examples are not readily available, active learning and transfer learning are separate efforts to obtain labeled examples for inductive learning. Active learning asks domain experts to label a small set of examples, but there is a cost incurred for each answer. While transfer learning could borrow labeled examples from a different domain without incurring any labeling cost, there is no guarantee that the transferred examples will actually help improve the learning accuracy. To solve both problems, we propose a framework to actively transfer the knowledge across domains, and the key intuition is to use the knowledge transferred from other domain as often as possible to help learn the current domain, and query experts only when necessary. To do so, labeled examples from the other domain (out-of-domain) are examined on the basis of their likelihood to correctly label the examples of the current domain (in-domain). When this likelihood is low, these out-of-domain examples will not be used to label the in-domain example, but domain experts are consulted to provide class label. We derive a sampling error bound and a querying bound to demonstrate that the proposed method can effectively mitigate risk of domain difference by transferring domain knowledge only when they are useful, and query domain experts only when necessary. Experimental studies have employed synthetic datasets and two types of real world datasets, including remote sensing and text classification problems. The proposed method is compared with previously proposed transfer learning and active learning methods. Across all comparisons, the proposed approach can evidently outperform the transfer learning model in classification accuracy given different out-of-domain datasets. For example, upon the remote sensing dataset, the proposed approach achieves an accuracy around 94.5%, while the comparable transfer learning model drops to less than 89% in most cases. The software and datasets are available from the authors.",2008,European Conference on Principles of Data Mining and Knowledge Discovery,problem domain;inductive transfer;multi task learning;domain knowledge;semi supervised learning;data science;data mining;artificial intelligence;machine learning;computer science;
One-Class Classification by Combining Density and Class Probability Estimation,Kathryn Hempstalk (University of Waikato);Eibe Frank (University of Waikato);Ian H. Witten (University of Waikato);,"1782723436,2165714491,2163446563","One-class classification has important applications such as outlier and novelty detection. It is commonly tackled using density estimation techniques or by adapting a standard classification algorithm to the problem of carving out a decision boundary that describes the location of the target data. In this paper we investigate a simple method for one-class classification that combines the application of a density estimator, used to form a reference distribution, with the induction of a standard model for class probability estimation. In this method, the reference distribution is used to generate artificial data that is employed to form a second, artificial class. In conjunction with the target class, this artificial class is the basis for a standard two-class learning problem. We explain how the density function of the reference distribution can be combined with the class probability estimates obtained in this way to form an adjusted estimate of the density function of the target class. Using UCI datasets, and data from a typist recognition problem, we show that the combined model, consisting of both a density estimator and a class probability estimator, can improve on using either component technique alone when used for one-class classification. We also compare the method to one-class classification using support vector machines.",2008,European Conference on Principles of Data Mining and Knowledge Discovery,one class classification;standard model;density estimation;support vector machine;data mining;pattern recognition;machine learning;statistics;computer science;mathematics;
